BRONX,10451
NEW YORK,10001
FISHERS ISLAND,6390
ACCORD,12404
ACRA,12405
AMAWALK,10501
AMENIA,12501
ANCRAM,12502
ANCRAMDALE,12503
ARDSLEY,10502
ARDSLEY ON HUDSON,10503
ARKVILLE,12406
ARMONK,10504
ASHLAND,12407
BALDWIN PLACE,10505
BANGALL,12506
BARRYVILLE,12719
BEACON,12508
BEAR MOUNTAIN,10911
BEARSVILLE,12409
BEDFORD,10506
BEDFORD HILLS,10507
BELLVALE,10912
BETHEL,12720
BIG INDIAN,12410
BILLINGS,12510
BLAUVELT,10913
BLOOMINGBURG,12721
BLOOMING GROVE,10914
BLOOMINGTON,12411
BOICEVILLE,12412
BREWSTER,10509
BRIARCLIFF MANOR,10510
BUCHANAN,10511
BULLVILLE,10915
BURLINGHAM,12722
CAIRO,12413
PURLING,12470
CALLICOON,12723
CALLICOON CENTER,12724
CAMPBELL HALL,10916
CARMEL,10512
CASTLE POINT,12511
CATSKILL,12414
CENTRAL VALLEY,10917
CHAPPAQUA,10514
CHELSEA,12512
CHESTER,10918
CHICHESTER,12416
CIRCLEVILLE,10919
CLARYVILLE,12725
CLAVERACK,12513
CLINTON CORNERS,12514
CLINTONDALE,12515
COCHECTON,12726
COCHECTON CENTER,12727
COLD SPRING,10516
CONGERS,10920
CONNELLY,12417
COPAKE,12516
COPAKE FALLS,12517
CORNWALL,12518
CORNWALL ON HUDSON,12520
CORNWALLVILLE,12418
COTTEKILL,12419
CRAGSMOOR,12420
CRARYVILLE,12521
CROMPOND,10517
CROSS RIVER,10518
CROTON FALLS,10519
CROTON ON HUDSON,10520
CUDDEBACKVILLE,12729
DENVER,12421
DOBBS FERRY,10522
DOVER PLAINS,12522
EAST DURHAM,12423
ELDRED,12732
ELIZAVILLE,12523
ELKA PARK,12427
ELLENVILLE,12428
ELMSFORD,10523
ESOPUS,12429
FALLSBURG,12733
FERNDALE,12734
FISHKILL,12524
FLEISCHMANNS,12430
FLORIDA,10921
FORT MONTGOMERY,10922
FREEHOLD,12431
FREMONT CENTER,12736
GARDINER,12525
GARNERVILLE,10923
GARRISON,10524
GERMANTOWN,12526
GLASCO,12432
GLENFORD,12433
GLENHAM,12527
GLEN SPEY,12737
GLEN WILD,12738
GOLDENS BRIDGE,10526
GOSHEN,10924
GRAHAMSVILLE,12740
GRAND GORGE,12434
GRANITE SPRINGS,10527
GREENFIELD PARK,12435
GREENWOOD LAKE,10925
HAINES FALLS,12436
HALCOTTSVILLE,12438
HANKINS,12741
HARRIMAN,10926
HARRIS,12742
HARRISON,10528
HARTSDALE,10530
HAVERSTRAW,10927
HAWTHORNE,10532
HENSONVILLE,12439
HIGH FALLS,12440
HIGHLAND,12528
HIGHLAND FALLS,10928
HIGHLAND LAKE,12743
HIGHLAND MILLS,10930
HIGHMOUNT,12441
HILLBURN,10931
HILLSDALE,12529
HOLLOWVILLE,12530
HOLMES,12531
HOPEWELL JUNCTION,12533
HORTONVILLE,12745
HOWELLS,10932
HUDSON,12534
HUGHSONVILLE,12537
HUGUENOT,12746
HUNTER,12442
HURLEY,12443
HURLEYVILLE,12747
HYDE PARK,12538
IRVINGTON,10533
JEFFERSON VALLEY,10535
JEFFERSONVILLE,12748
JEWETT,12444
JOHNSON,10933
KATONAH,10536
KAUNEONGA LAKE,12749
KENOZA LAKE,12750
KERHONKSON,12446
KIAMESHA LAKE,12751
KINGSTON,12401
LAGRANGEVILLE,12540
LAKE HILL,12448
LAKE HUNTINGTON,12752
LAKE KATRINE,12449
LAKE PEEKSKILL,10537
LANESVILLE,12450
LARCHMONT,10538
LEEDS,12451
LEXINGTON,12452
LIBERTY,12754
LINCOLNDALE,10540
LIVINGSTON,12541
LIVINGSTON MANOR,12758
LOCH SHELDRAKE,12759
LONG EDDY,12760
MAHOPAC,10541
MAHOPAC FALLS,10542
MALDEN ON HUDSON,12453
MAMARONECK,10543
MAPLECREST,12454
MARGARETVILLE,12455
MARLBORO,12542
MARYKNOLL,10545
MAYBROOK,12543
MELLENVILLE,12544
MIDDLETOWN,10940
NEWBURGH,12555
MILLBROOK,12545
MILLERTON,12546
MILLWOOD,10546
MILTON,12547
MODENA,12548
MOHEGAN LAKE,10547
MONGAUP VALLEY,12762
MONROE,10949
MONSEY,10952
MONTGOMERY,12549
MONTICELLO,12701
FORESTBURGH,12777
MONTROSE,10548
MOUNTAIN DALE,12763
MOUNTAINVILLE,10953
MOUNT KISCO,10549
MOUNT MARION,12456
MOUNT TREMPER,12457
MOUNT VERNON,10550
NANUET,10954
NAPANOCH,12458
NARROWSBURG,12764
NEVERSINK,12765
NEW WINDSOR,12553
NEW CITY,10956
NEW HAMPTON,10958
NEW KINGSTON,12459
NEW MILFORD,10959
NEW PALTZ,12561
NEW ROCHELLE,10801
PELHAM,10803
NORTH BRANCH,12766
NORTH SALEM,10560
NYACK,10960
DURHAM,12422
OAK HILL,12460
OBERNBURG,12767
OLIVEBRIDGE,12461
ORANGEBURG,10962
OSSINING,10562
OTISVILLE,10963
PALENVILLE,12463
PALISADES,10964
PARKSVILLE,12768
PATTERSON,12563
PAWLING,12564
PEARL RIVER,10965
PEEKSKILL,10566
CORTLANDT MANOR,10567
PHILLIPSPORT,12769
PHILMONT,12565
PHOENICIA,12464
PIERMONT,10968
PINE BUSH,12566
PINE HILL,12465
PINE ISLAND,10969
PINE PLAINS,12567
PLATTEKILL,12568
PLEASANT VALLEY,12569
PLEASANTVILLE,10570
POMONA,10970
POND EDDY,12770
PORT CHESTER,10573
PORT EWEN,12466
PORT JERVIS,12771
WESTBROOKVILLE,12785
POUGHKEEPSIE,12601
POUGHQUAG,12570
POUND RIDGE,10576
PRATTSVILLE,12468
PRESTON HOLLOW,12469
PURCHASE,10577
PURDYS,10578
PUTNAM VALLEY,10579
ANNANDALE ON HUDSON,12504
BARRYTOWN,12507
RED HOOK,12571
RHINEBECK,12572
RHINECLIFF,12574
RIFTON,12471
ROCK HILL,12775
ROCK TAVERN,12575
ROSCOE,12776
ROSENDALE,12472
ROUND TOP,12473
ROXBURY,12474
RUBY,12475
RYE,10580
SALISBURY MILLS,12577
SALT POINT,12578
SAUGERTIES,12477
SCARSDALE,10583
SHANDAKEN,12480
SHENOROCK,10587
SHOKAN,12481
SHRUB OAK,10588
SLATE HILL,10973
SLOATSBURG,10974
SMALLWOOD,12778
SOMERS,10589
SOUTH CAIRO,12482
SOUTH FALLSBURG,12779
ARDEN,10910
SOUTHFIELDS,10975
SOUTH SALEM,10590
SPARKILL,10976
SPARROW BUSH,12780
SPRING GLEN,12483
SPRING VALLEY,10977
STAATSBURG,12580
STANFORDVILLE,12581
STERLING FOREST,10979
STONE RIDGE,12484
STONY POINT,10980
STORMVILLE,12582
SUFFERN,10901
SUGAR LOAF,10981
SUMMITVILLE,12781
SWAN LAKE,12783
TALLMAN,10982
EAST JEWETT,12424
TANNERSVILLE,12485
TAPPAN,10983
TARRYTOWN,10591
THIELLS,10984
THOMPSON RIDGE,10985
THOMPSONVILLE,12784
THORNWOOD,10594
TILLSON,12486
TIVOLI,12583
TOMKINS COVE,10986
TUXEDO PARK,10987
ULSTER PARK,12487
UNIONVILLE,10988
VAILS GATE,12584
VALHALLA,10595
VALLEY COTTAGE,10989
VERBANK,12585
VERPLANCK,10596
WACCABUC,10597
WALDEN,12586
WALKER VALLEY,12588
WALLKILL,12589
WAPPINGERS FALLS,12590
WARWICK,10990
WASHINGTONVILLE,10992
WASSAIC,12592
WAWARSING,12489
WEST CAMP,12490
WEST HAVERSTRAW,10993
WEST HURLEY,12491
WEST KILL,12492
WEST NYACK,10994
WEST PARK,12493
WEST POINT,10996
WEST SHOKAN,12494
WESTTOWN,10998
WHITE LAKE,12786
WHITE PLAINS,10601
WEST HARRISON,10604
WHITE SULPHUR SPRINGS,12787
WILLOW,12495
WINDHAM,12496
WINGDALE,12594
WOODBOURNE,12788
WOODRIDGE,12789
WOODSTOCK,12498
WURTSBORO,12790
YONKERS,10701
HASTINGS ON HUDSON,10706
TUCKAHOE,10707
BRONXVILLE,10708
EASTCHESTER,10709
YORKTOWN HEIGHTS,10598
YOUNGSVILLE,12791
YULAN,12792
BROOKLYN,11201
INWOOD,11096
FAR ROCKAWAY,11690
ARVERNE,11692
ROCKAWAY PARK,11694
BREEZY POINT,11697
FLORAL PARK,11001
ELMONT,11003
GLEN OAKS,11004
FLUSHING,11351
COLLEGE POINT,11356
WHITESTONE,11357
BAYSIDE,11359
LITTLE NECK,11362
OAKLAND GARDENS,11364
FRESH MEADOWS,11365
CORONA,11368
EAST ELMHURST,11369
JACKSON HEIGHTS,11372
ELMHURST,11373
REGO PARK,11374
FOREST HILLS,11375
WOODSIDE,11377
MASPETH,11378
MIDDLE VILLAGE,11379
RIDGEWOOD,11385
FRANKLIN SQUARE,11010
GREAT NECK,11020
JAMAICA,11405
CAMBRIA HEIGHTS,11411
SAINT ALBANS,11412
SPRINGFIELD GARDENS,11413
HOWARD BEACH,11414
KEW GARDENS,11415
OZONE PARK,11416
RICHMOND HILL,11418
SOUTH RICHMOND HILL,11419
SOUTH OZONE PARK,11420
WOODHAVEN,11421
ROSEDALE,11422
HOLLIS,11423
BELLEROSE,11426
QUEENS VILLAGE,11427
LONG ISLAND CITY,11101
ASTORIA,11102
SUNNYSIDE,11104
MANHASSET,11030
NEW HYDE PARK,11040
PORT WASHINGTON,11050
STATEN ISLAND,10301
ALBERTSON,11507
AMAGANSETT,11930
AMITYVILLE,11701
AQUEBOGUE,11931
ATLANTIC BEACH,11509
BABYLON,11702
NORTH BABYLON,11703
WEST BABYLON,11704
BALDWIN,11510
BAYPORT,11705
BAY SHORE,11706
BAYVILLE,11709
BELLMORE,11710
BELLPORT,11713
BETHPAGE,11714
BLUE POINT,11715
BOHEMIA,11716
BRENTWOOD,11717
BRIDGEHAMPTON,11932
BRIGHTWATERS,11718
BROOKHAVEN,11719
CALVERTON,11933
CARLE PLACE,11514
CEDARHURST,11516
CENTEREACH,11720
CENTER MORICHES,11934
CENTERPORT,11721
CENTRAL ISLIP,11722
ISLANDIA,11749
COLD SPRING HARBOR,11724
COMMACK,11725
COPIAGUE,11726
CORAM,11727
CUTCHOGUE,11935
DEER PARK,11729
EAST HAMPTON,11937
EAST ISLIP,11730
EAST MARION,11939
EAST MEADOW,11554
EAST MORICHES,11940
EAST NORTHPORT,11731
EAST NORWICH,11732
EASTPORT,11941
EAST QUOGUE,11942
EAST ROCKAWAY,11518
EAST SETAUKET,11733
FARMINGDALE,11735
FARMINGVILLE,11738
FREEPORT,11520
GARDEN CITY,11530
GLEN COVE,11542
GLEN HEAD,11545
GLENWOOD LANDING,11547
GREAT RIVER,11739
GREENLAWN,11740
GREENPORT,11944
GREENVALE,11548
HAMPTON BAYS,11946
HEMPSTEAD,11549
HEWLETT,11557
HICKSVILLE,11801
PLAINVIEW,11803
OLD BETHPAGE,11804
HOLBROOK,11741
HOLTSVILLE,501
HUNTINGTON,11743
HUNTINGTON STATION,11746
MELVILLE,11747
ISLAND PARK,11558
ISLIP,11751
ISLIP TERRACE,11752
JAMESPORT,11947
JERICHO,11753
KINGS PARK,11754
LAKE GROVE,11755
LAUREL,11948
LAWRENCE,11559
LEVITTOWN,11756
LINDENHURST,11757
LOCUST VALLEY,11560
LONG BEACH,11561
LYNBROOK,11563
MALVERNE,11565
MANORVILLE,11949
MASSAPEQUA,11758
MASSAPEQUA PARK,11762
MASTIC,11950
MASTIC BEACH,11951
MATTITUCK,11952
MEDFORD,11763
MERRICK,11566
MIDDLE ISLAND,11953
MILLER PLACE,11764
MILL NECK,11765
MINEOLA,11501
MONTAUK,11954
MORICHES,11955
MOUNT SINAI,11766
NESCONSET,11767
NEW SUFFOLK,11956
NORTHPORT,11768
OAKDALE,11769
OCEAN BEACH,11770
ORIENT,11957
OYSTER BAY,11771
PATCHOGUE,11772
PECONIC,11958
POINT LOOKOUT,11569
PORT JEFFERSON STATION,11776
PORT JEFFERSON,11777
QUOGUE,11959
REMSENBURG,11960
RIDGE,11961
RIVERHEAD,11901
ROCKVILLE CENTRE,11570
OCEANSIDE,11572
ROCKY POINT,11778
RONKONKOMA,11779
ROOSEVELT,11575
ROSLYN,11576
ROSLYN HEIGHTS,11577
SAGAPONACK,11962
SAG HARBOR,11963
SAINT JAMES,11780
SAYVILLE,11782
SEA CLIFF,11579
SEAFORD,11783
SELDEN,11784
SHELTER ISLAND,11964
SHELTER ISLAND HEIGHTS,11965
SHIRLEY,11967
SHOREHAM,11786
SMITHTOWN,11787
HAUPPAUGE,11788
SOUND BEACH,11789
SOUTHAMPTON,11968
SOUTH JAMESPORT,11970
SOUTHOLD,11971
SPEONK,11972
STONY BROOK,11790
SYOSSET,11773
UNIONDALE,11553
UPTON,11973
VALLEY STREAM,11580
WADING RIVER,11792
WAINSCOTT,11975
WANTAGH,11793
WATER MILL,11976
OLD WESTBURY,11568
WESTBURY,11590
WESTHAMPTON,11977
WESTHAMPTON BEACH,11978
WEST HEMPSTEAD,11552
WEST ISLIP,11795
WEST SAYVILLE,11796
WILLISTON PARK,11596
WOODBURY,11797
WOODMERE,11598
WYANDANCH,11798
YAPHANK,11980
ADAMS,13605
ADAMS CENTER,13606
ADIRONDACK,12808
AFTON,13730
ALBANY,12201
ALCOVE,12007
ALDER CREEK,13301
ALEXANDRIA BAY,13607
ALTAMONT,12009
ALTMAR,13302
ALTONA,12910
AMSTERDAM,12010
ANDES,13731
BOVINA CENTER,13740
ANTWERP,13608
OXBOW,13671
APALACHIN,13732
APULIA STATION,13020
ARGYLE,12809
ATHENS,12015
ATHOL,12810
AUBURN,13021
AURORA,13026
AU SABLE FORKS,12912
AUSTERLITZ,12017
AVA,13303
AVERILL PARK,12018
BAINBRIDGE,13733
BAKERS MILLS,12811
BALDWINSVILLE,13027
BALLSTON SPA,12020
BARNEVELD,13304
BARTON,13734
SMITHBORO,13840
BEAVER FALLS,13305
BELLEVILLE,13611
BERKSHIRE,13736
BERLIN,12022
BERNE,12023
BERNHARDS BAY,13028
BIBLE SCHOOL PARK,13737
BINGHAMTON,13901
BLACK RIVER,13612
BLODGETT MILLS,13738
BLOOMINGDALE,12913
BLOOMVILLE,13739
BLOSSVALE,13308
MC CONNELLSVILLE,13401
BLUE MOUNTAIN LAKE,12812
BOLTON LANDING,12814
BOMBAY,12914
BOONVILLE,13309
BOUCKVILLE,13310
BRAINARD,12024
BRAINARDSVILLE,12915
BRANT LAKE,12815
BRASHER FALLS,13613
BREWERTON,13029
BRIDGEPORT,13030
BRIDGEWATER,13313
BRIER HILL,13614
BROADALBIN,12025
BROOKFIELD,13314
NORTH BROOKFIELD,13418
BROWNVILLE,13615
BRUSHTON,12916
BURKE,12917
BURLINGTON FLATS,13315
GARRATTSVILLE,13342
NEW LISBON,13415
BALLSTON LAKE,12019
BURNT HILLS,12027
CADYVILLE,12918
CALCIUM,13616
CAMBRIDGE,12816
CAMDEN,13316
CAMILLUS,13031
CANAAN,12029
CANAJOHARIE,13317
CANASTOTA,13032
CANDOR,13743
CANTON,13617
CAPE VINCENT,13618
CARLISLE,12031
CAROGA LAKE,12032
CARTHAGE,13619
DENMARK,13631
CASSVILLE,13318
CASTLE CREEK,13744
CASTLETON ON HUDSON,12033
CASTORLAND,13620
CATO,13033
CAYUGA,13034
CAZENOVIA,13035
CENTRAL BRIDGE,12035
CENTRAL SQUARE,13036
CHADWICKS,13319
CHAMPLAIN,12919
CHARLOTTEVILLE,12036
CHASE MILLS,13621
CHATEAUGAY,12920
CHATHAM,12037
CHAUMONT,13622
CHAZY,12921
CHENANGO BRIDGE,13745
CHENANGO FORKS,13746
CHERRY PLAIN,12040
CHERRY VALLEY,13320
ROSEBOOM,13450
CHESTERTOWN,12817
CHILDWOLD,12922
CHIPPEWA BAY,13623
CHITTENANGO,13037
CHURUBUSCO,12923
CINCINNATUS,13040
CLARK MILLS,13321
CLARKSVILLE,12041
CICERO,13039
CLAY,13041
CLAYTON,13624
CLAYVILLE,13322
CLEMONS,12819
CLEVELAND,13042
CLEVERDALE,12820
CLIFTON PARK,12065
CLIMAX,12042
CLINTON,13323
CLOCKVILLE,13043
COBLESKILL,12043
COEYMANS,12045
COEYMANS HOLLOW,12046
COHOES,12047
COLD BROOK,13324
COLLIERSVILLE,13747
COLTON,13625
COLUMBIAVILLE,12050
COMSTOCK,12821
CONKLIN,13748
CONSTABLE,12926
CONSTABLEVILLE,13325
CONSTANTIA,13044
COOPERSTOWN,13326
COPENHAGEN,13626
DEER RIVER,13627
CORBETTSVILLE,13749
CORINTH,12822
CORTLAND,13045
COSSAYUNA,12823
COXSACKIE,12051
WEST COXSACKIE,12192
CRANBERRY LAKE,12927
CROGHAN,13327
CROPSEYVILLE,12052
CROWN POINT,12928
DANNEMORA,12929
DAVENPORT,13750
DAVENPORT CENTER,13751
DEANSBORO,13328
DEFERIET,13628
DE KALB JUNCTION,13630
DELANSON,12053
DELANCEY,13752
DELHI,13753
DELMAR,12054
DELPHI FALLS,13051
DEPAUVILLE,13632
DE PEYSTER,13633
DEPOSIT,13754
DE RUYTER,13052
DEXTER,13634
LIMERICK,13657
DIAMOND POINT,12824
DICKINSON CENTER,12930
DOLGEVILLE,13329
DOWNSVILLE,13755
DRYDEN,13053
DUANESBURG,12056
DURHAMVILLE,13054
EAGLE BAY,13331
BUSKIRK,12028
EAGLE BRIDGE,12057
EARLTON,12058
SURPRISE,12176
EARLVILLE,13332
EAST BERNE,12059
EAST BRANCH,13756
EAST CHATHAM,12060
EAST GREENBUSH,12061
EAST MEREDITH,13757
EAST NASSAU,12062
EAST SCHODACK,12063
EAST SYRACUSE,13057
EAST WORCESTER,12064
EATON,13334
EDMESTON,13335
EDWARDS,13635
ELBRIDGE,13060
ELIZABETHTOWN,12932
ELLENBURG,12933
ELLENBURG CENTER,12934
ELLENBURG DEPOT,12935
ELLISBURG,13636
ENDICOTT,13760
ENDWELL,13762
ERIEVILLE,13061
ESPERANCE,12066
ESSEX,12936
ETNA,13062
EVANS MILLS,13637
FABIUS,13063
FAIR HAVEN,13064
FAYETTE,13065
FAYETTEVILLE,13066
FELTS MILLS,13638
FEURA BUSH,12067
FINE,13639
WELLESLEY ISLAND,13640
THOUSAND ISLAND PARK,13692
FISHERS LANDING,13641
FISHS EDDY,13774
FLY CREEK,13337
FONDA,12068
FORESTPORT,13338
FORT ANN,12827
FORT COVINGTON,12937
FORT EDWARD,12828
FORT HUNTER,12069
FORT JOHNSON,12070
FORT PLAIN,13339
